chinese_raw,english_name
安提瓜和巴布达,Antigua and Barbuda
阿根廷,Argentina
阿鲁巴,Aruba
巴哈马,Bahamas
巴巴多斯,Barbados
伯利兹,Belize
玻利维亚,Bolivia
巴西,Brazil
开曼群岛,Cayman Islands
智利,Chile
哥伦比亚,Colombia
多米尼克,Dominic
哥斯达黎加,costa rica
古巴,Cuba
库拉索,Curaçao
多米尼加,dominican
厄瓜多尔,Ecuador
法属圭亚那,French Guiana
格林纳达,Greneda
瓜德罗普,Guadeloupe
危地马拉,Guatemala
圭亚那,Guyana
海地,Haiti
洪都拉斯,Honduras
牙买加,Jamaica
马提尼克,Martinique
墨西哥,Mexico
蒙特塞拉特,Montserrat
尼加拉瓜,Nicaragua
巴拿马,Panama
巴拉圭,Paraguay
秘鲁,Peru
波多黎各 ,Puerto Rico 
圣卢西亚,saint lucia
法属圣马丁,French Saint Martin
圣文森特和格林纳丁斯,Saint Vincent and the Grenadines
萨尔瓦多,El Salvador
苏里南 ,Surinam 
特立尼达和多巴哥,Trinidad and Tobago
特克斯和凯科斯群岛,Turks and Caicos Islands
乌拉圭 ,Uruguay 
委内瑞拉,Venezuela
英属维尔京群岛,British Virgin Islands
圣基茨和尼维斯,Saint Kitts and Nevis
博纳尔，圣俄斯塔休斯和萨巴,"Bonal, San Ostasius and Saba"
圣巴泰勒米,Saint Barthelme
布维岛,Bui Island
福克兰群岛（马尔维纳斯）,Falkland Islands (Malvinas)
南乔治亚岛和南桑德韦奇岛,South Georgia and South Sandwich
荷属圣马丁,"St. Martin, Netherlands"
美属维尔京群岛,U.S. Virgin Islands
安圭拉,Anguilla
拉丁美洲其他国家(地区),Other Latin American countries (regions)
北美洲,North America
加拿大,Canada
美国,USA
格陵兰 ,Greenland 
百慕大,Bermuda
圣皮埃尔和密克隆,Saint-Pierre and Miquelon
北美洲其他国家(地区),Other countries (regions) in North America
大洋洲 ,Oceania 
澳大利亚 ,Australia 
库克群岛 ,Cook Islands 
斐济,Fiji
瑙鲁 ,Nauru 
新喀里多尼亚,New Caledonia
瓦努阿图,Vanuatu
新西兰,New Zealand
诺福克岛,Norfolk Island
巴布亚新几内亚 ,papua new guinea 
所罗门群岛,solomon islands
汤加,Tonga
萨摩亚,Samoa
基里巴斯,Kiribati
图瓦卢,Tuvalu
密克罗尼西亚联邦,Federated States of Micronesia
马绍尔群岛,Marshall Islands
帕劳,Palau
法属波利尼西亚,French Polynesia
瓦利斯和富图纳,Wallis and Futuna
美属萨摩亚,American Samoa
科科斯（基林）群岛,Cocos (Kearling) Islands
圣诞岛,Christmas Island
关岛,Guam
赫德岛和麦克唐纳岛,Heard Island and McDonald Island
北马里亚纳群岛,Northern Mariana Islands
纽埃,Niue
皮特凯恩,Pit Kane
托克劳,Tokelau
美国本土外小岛屿,Small islands outside the continental United States
大洋洲其他国家(地区) ,Other countries (regions) in Oceania 
南极洲,Antarctica
国家（地区）不明,Country (region) unknown
东南亚国家联盟,Association of Southeast Asian Nations
欧洲联盟,European Union
亚太经济合作组织,Asia-Pacific Economic Cooperation (APEC)
